[2020-09-10 11:24:20,382][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:651] No active profile set, falling back to default profiles: default
[2020-09-10 11:24:21,932][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:127] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
[2020-09-10 11:24:22,081][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:187] Finished Spring Data repository scanning in 127ms. Found 1 JPA repository interfaces.
[2020-09-10 11:24:22,581][main][INFO][org.springframework.cloud.context.scope.GenericScope:295] BeanFactory id=0f28e386-029a-3fd0-ba5d-6428c2ae0280
[2020-09-10 11:24:23,318][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService
[2020-09-10 11:24:23,336][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService 'taskExecutor'
[2020-09-10 11:24:23,693][sc-thread-async-1][INFO][org.hibernate.Version:44] HHH000412: Hibernate ORM core version 5.4.20.Final
[2020-09-10 11:24:24,186][sc-thread-async-1][INFO][org.hibernate.annotations.common.Version:49] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[2020-09-10 11:24:24,613][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2020-09-10 11:24:25,680][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2020-09-10 11:24:25,756][sc-thread-async-1][INFO][org.hibernate.dialect.Dialect:170] HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
[2020-09-10 11:24:27,929][sc-thread-async-1][INFO][org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:52] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2020-09-10 11:24:28,052][sc-thread-async-1][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:416] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2020-09-10 11:24:30,331][main][WARN][org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:220] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2020-09-10 11:24:31,084][main][INFO][springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping:69] Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
[2020-09-10 11:24:32,665][main][INFO][springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:160] Context refreshed
[2020-09-10 11:24:32,722][main][INFO][springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:163] Found 1 custom documentation plugin(s)
[2020-09-10 11:24:32,809][main][INFO][springfox.documentation.spring.web.scanners.ApiListingReferenceScanner:41] Scanning for api listing references
[2020-09-10 11:24:33,098][main][INFO][org.springframework.data.repository.config.DeferredRepositoryInitializationListener:49] Triggering deferred initialization of Spring Data repositories…
[2020-09-10 11:24:33,099][main][INFO][org.springframework.data.repository.config.DeferredRepositoryInitializationListener:53] Spring Data repositories initialized!
[2020-09-10 11:24:33,114][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:61] Started CompletedFutureImplTest in 14.382 seconds (JVM running for 17.699)
[2020-09-10 11:24:33,331][ForkJoinPool.commonPool-worker-1][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:27] 当前线程 = ForkJoinPool.commonPool-worker-1
[2020-09-10 11:24:33,331][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:32] 结果 = null
[2020-09-10 11:24:33,380][SpringContextShutdownHook][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:598] Closing JPA EntityManagerFactory for persistence unit 'default'
[2020-09-10 11:24:33,384][SpringContextShutdownHook][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218] Shutting down ExecutorService 'taskExecutor'
[2020-09-10 11:24:33,385][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2020-09-10 11:24:33,402][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2020-09-10 11:26:44,374][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:651] No active profile set, falling back to default profiles: default
[2020-09-10 11:26:46,034][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:127] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
[2020-09-10 11:26:46,195][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:187] Finished Spring Data repository scanning in 145ms. Found 1 JPA repository interfaces.
[2020-09-10 11:26:46,744][main][INFO][org.springframework.cloud.context.scope.GenericScope:295] BeanFactory id=0f28e386-029a-3fd0-ba5d-6428c2ae0280
[2020-09-10 11:26:47,453][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService
[2020-09-10 11:26:47,480][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService 'taskExecutor'
[2020-09-10 11:26:47,751][sc-thread-async-1][INFO][org.hibernate.Version:44] HHH000412: Hibernate ORM core version 5.4.20.Final
[2020-09-10 11:26:48,011][sc-thread-async-1][INFO][org.hibernate.annotations.common.Version:49] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[2020-09-10 11:26:48,311][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2020-09-10 11:26:48,986][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2020-09-10 11:26:49,029][sc-thread-async-1][INFO][org.hibernate.dialect.Dialect:170] HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
[2020-09-10 11:26:50,571][sc-thread-async-1][INFO][org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:52] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2020-09-10 11:26:50,595][sc-thread-async-1][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:416] Initialized JPA EntityManagerFactory for persistence unit 'default'
